关键词,类型,来源,运行次数,累计新增条数,平均热度,命中率,首次发现,最近运行
去面试要问清楚哪些问题,活跃,面试反问大家都在搜,2,16,本轮新增10条,"run2_10/22≈45.5%(2026-08-08;长空档复查,距07-16隔23天;22条样本新增10条,含去线下面试之前建议先问清楚这五个问题[7917]/谁懂啊面试约到就去=放弃谈薪主动权[1.6万]/必备6道压力面试题[5591]等,再次验证长空档规律); 前值:run1_60%(6新/10抓;网页;求职者反向提问清单+面试防坑指南多来源角度,首投命中优秀,升级活跃);原:—",2026-07-05,2026-08-08
委婉的离职原因,候选,离职原因怎么说大家都在搜,0,0,—,—,2026-07-05,2026-07-05
面试怎么有交流感,活跃,面试什么话该说大家都在搜,2,14,本轮新增9条,"run2_9/18=50.0%(2026-08-08;长空档复查,距07-16隔23天;18条样本新增9条,含一秒解决当众紧张的顶级心态[9888]/考场85+大牛演示顶级交流感[粉笔面试王骥炎,1.1万]等,长空档规律再次验证,本轮全场最高命中率); 前值:run1_50%(5新/10抓;网页;真诚表达反模板化/技术面试沟通/公务员反模板化多来源角度,首投命中良好,升级活跃);原:—",2026-07-05,2026-08-08
事业单位面试不能说什么,活跃,面试什么话不能说大家都在搜,10,75,1633,"run5_30.8%(4新/13抓;2026-08-08;距上次运行24天,长空档复投;XHS3条[我姑是事业编面试官她说过不了的很明显621赞/过来人经验其实事业编面试也就是走个过场165赞/面试中绝对不能说的话近期踩雷182赞]+web1条[知乎答案事业单位面试要注意什么,答题/言语/仪表三方面禁忌汇总];另从知乎该词根收割2条问题标题转入词库候选[事业单位面试无话可说怎么办/事业单位面试说不出话]); 前值:run4_40%(4新/10抓;网页;技术岗两大禁忌wjhr+事业单位太差知乎两条+六大禁忌博乐市政务页共四条新增,较run3明显回升);原:run3_25%(2新/~19抓;网页源;说错话补救/翻车追问角度)",run1_65%(10新;7XHS+3web;含2026最新文),2026-08-08
低学历面试自我介绍怎么说,候选,面试什么话不能说筛选标签,0,0,—,—,2026-07-05,—
面试底层逻辑,活跃,面试顶级心态高频标题,4,19,约1.0万,run4_2/10=20.0%(长空档复查[距07-08隔27天]),2026-07-05,2026-08-04
面试回答问题结束语,候选,面试什么话该说大家都在搜,0,0,—,—,2026-07-05,—
面试配得感怎么展示,候选,面试配得感大家都在搜,0,0,—,—,2026-07-06,—
面试配得感怎么提升,候选,面试配得感大家都在搜,0,0,—,—,2026-07-06,—
临场发言,候选,即兴发言相关搜索,0,0,—,—,2026-07-06,—
面试反问加分回答,活跃,面试反问大家都在搜,2,4,"约676(08-04,2条样本:1350/1)","run2_2/20=10.0%(XHS2新/20抓,长空档复查距07-07隔28天)",2026-07-06,2026-08-04
简短离职原因,候选,离职原因怎么说大家都在搜,0,0,—,—,2026-07-06,—
deepseek社招面经,候选,社招面试自我介绍大家都在搜,0,0,—,—,2026-07-06,—
AI面试自我介绍,候选,社招面试自我介绍大家都在搜,0,0,—,—,2026-07-06,—
求职谈薪技巧,候选,谈薪技巧大家都在搜,0,0,—,—,2026-07-06,—
面试谈薪博弈论,候选,面试博弈论大家都在搜,0,0,—,—,2026-07-06,—
求职面试博弈论,候选,面试博弈论大家都在搜,0,0,—,—,2026-07-06,—
面试反问环节加分项,候选,面试反问加分回答大家都在搜,0,0,—,—,2026-07-07,—
面试有底气,候选,面试配得感大家都在搜,0,0,—,—,2026-07-07,—
怎么提高面试中的配得感,候选,面试配得感大家都在搜,0,0,—,—,2026-07-07,—
面试底层逻辑思维,候选,面试底层逻辑大家都在搜,0,0,—,—,2026-07-07,—
面试表达的底层逻辑,候选,面试底层逻辑大家都在搜,0,0,—,—,2026-07-07,—
所有面试回答的底层逻辑,候选,面试底层逻辑大家都在搜,0,0,—,—,2026-07-07,—
面试中的配得感,候选,面试配得感大家都在搜,0,0,—,—,2026-07-07,—
面试应该说什么话,候选,面试什么话该说大家都在搜,0,0,—,—,2026-07-07,—
甩锅话术怎么写,候选,甩锅话术大家都在搜,0,0,—,—,2026-07-07,—
如何避免别人甩锅,候选,甩锅话术大家都在搜,0,0,—,—,2026-07-07,—
事业编面试行为禁忌,候选,事业单位面试搜索联想,0,0,—,—,2026-07-07,—
事业单位面试自我介绍禁忌,候选,事业单位面试搜索联想,0,0,—,—,2026-07-07,—
面试王炸心态,候选,面试超绝心态大家都在搜,0,0,—,—,2026-07-07,—
面试说自己的缺点,候选,面试优缺点大家都在搜,0,0,—,—,2026-07-07,—
面试三大优点和缺点,候选,大家都在搜(面试优缺点怎么说),0,0,—,—,2026-07-09,—
面试缺点博弈论,退休,面试博弈论大家都在搜,1,0,—,0%(首投无相关内容),2026-07-07,2026-07-08
线上面试打招呼开场白,候选,线上面试话术大家都在搜,0,0,—,—,2026-07-07,—
线上面试怎么自然的看稿子,候选,线上面试话术大家都在搜,0,0,—,—,2026-07-07,—
争取线上面试话术,候选,线上面试话术大家都在搜,0,0,—,—,2026-07-07,—
职场直接表达技巧,候选,职场表达技巧大家都在搜,0,0,—,—,2026-07-07,—
英文面试攻略,候选,英文面试技巧大家都在搜,0,0,—,—,2026-07-07,—
英文面试的万能句,候选,英文面试技巧大家都在搜,0,0,—,—,2026-07-07,—
销售抗压能力怎么回答,候选,面试抗压能力大家都在搜,0,0,—,—,2026-07-07,—
职场话术模板,候选,职场表达话术大家都在搜,0,0,—,—,2026-07-07,—
利他性话术万能公式,候选,职场表达话术大家都在搜,0,0,—,—,2026-07-07,—
职场官方话术,候选,职场表达话术大家都在搜,0,0,—,—,2026-07-07,—
逻辑表达力每日一练,候选,逻辑表达力大家都在搜,0,0,—,—,2026-07-07,—
领导甩锅的幽默文案怎么写,候选,甩锅话术大家都在搜,0,0,—,—,2026-07-08,—
事业编面试哪些行为会导致不及格,候选,事业单位面试不能说什么相关搜索,0,0,—,—,2026-07-08,—
2026事业单位面试,候选,事业单位面试不能说什么相关搜索,0,0,—,—,2026-07-08,—
结构化面试不能说什么,候选,事业单位面试不能说什么相关搜索,0,0,—,—,2026-07-08,—
面试问你的性格是怎样的,候选,面试优缺点怎么说大家都在搜,0,0,—,—,2026-07-08,—
面试定薪,活跃,面试底层逻辑搜索页高热内容,3,26,"—;run4约507(6条样本:881/166/1590/106/111/187,08-05,距上次运行07-10已隔约26天)","run1_30%(5新;北美场景差异化);首投60%(10新;6XHS+4web;升级活跃);run4_10/25=40.0%(2026-08-05,再次验证长空档规律)",2026-07-10,2026-08-05
面试掌控感,退休,面试超绝心态搜索页,1,0,—,0%(首投;Web与配得感/面试心态高重叠;无独立XHS供给),2026-07-08,2026-07-08
高管自我介绍,候选,面试什么话该说搜索页,0,0,—,—,2026-07-08,—
面试信念感,候选,面试配得感大家都在搜,0,0,—,—,2026-07-08,—
面试配得感不足的表现,候选,面试配得感大家都在搜,0,0,—,—,2026-07-08,—
博弈论面试怎么答,候选,面试博弈论大家都在搜,0,0,—,—,2026-07-08,—
面试博弈论谈薪话术,候选,面试博弈论大家都在搜,0,0,—,—,2026-07-08,—
日常接话,候选,职场幽默接话大家都在搜,0,0,—,—,2026-07-08,—
高情商幽默接话,候选,职场幽默接话大家都在搜,0,0,—,—,2026-07-08,—
如何幽默接话,候选,职场幽默接话大家都在搜,0,0,—,—,2026-07-08,—
如何幽默聊天接梗,候选,职场幽默接话大家都在搜,0,0,—,—,2026-07-08,—
hr面试暗示你已经成功了,候选,面试成功的信号大家都在搜,0,0,—,—,2026-07-08,—
英文面试肢体语言技巧,候选,英文面试技巧大家都在搜,0,0,—,—,2026-07-08,—
全英文面试技巧,候选,英文面试技巧大家都在搜,0,0,—,—,2026-07-08,—
面试技巧培训,候选,面试技巧大家都在搜,0,0,—,—,2026-07-08,—
弱者表达替换表,活跃,弱者表达大家都在搜,3,15,约223(1条XHS样本:223),"run3_45.0%(9新/20抓,已过滤1条雅思词汇不相关条目;前值:run2_17%)",2026-07-12,2026-08-06
弱者气息测试,候选,弱者表达大家都在搜,0,0,—,—,2026-07-09,—
个人原因离职怎么说,候选,大家都在搜(离职原因怎么说),0,0,—,—,2026-07-09,—
面试问你有什么优势,候选,大家都在搜(面试优缺点怎么说),0,0,—,—,2026-07-09,—
薪资沟通话术,候选,薪资待遇话术大家都在搜,0,0,—,—,2026-07-09,—
争取薪资话术,候选,薪资待遇话术大家都在搜,0,0,—,—,2026-07-09,—
面试薪资话术,候选,薪资待遇话术大家都在搜,0,0,—,—,2026-07-09,—
hr问题提问刁钻,候选,hr问题大家都在搜,0,0,—,—,2026-07-09,—
结构化面试万能金句,活跃,面试什么话该说/大家都在搜(合并去重),2,run3(2026-08-15)_5/19=26.3%; 19,约2630（5条样本）,"run3(2026-08-15)_5/19=26.3% | —;07-29run1_76.0%(19新/25抓;XHS13/18+web6/7;候选首投;XHS13+web6;本轮全场最高命中率,供给以教师资格证/公务员结构化面试考公向内容为主,与corporate面试话术重叠度低但主题仍属""结构化表达""范畴;达到40%升级阈值)",2026-07-10,2026-08-15
如何面试时保持自信,候选,面试什么话该说大家都在搜,0,0,—,—,2026-07-10,—
面试的万能话术,候选,面试什么话该说大家都在搜,0,0,—,—,2026-07-10,—
面试过了怎么谈薪资,候选,面试定薪大家都在搜,0,0,—,—,2026-07-10,—
面试定薪话术范文,候选,面试定薪大家都在搜,0,0,—,—,2026-07-10,—
面试过了等定薪,候选,面试定薪大家都在搜,0,0,—,—,2026-07-10,—
定薪流程一般要走多久,候选,面试定薪大家都在搜,0,0,—,—,2026-07-10,—
怎么在面试时展示幽默,候选,面试配得感大家都在搜,0,0,—,—,2026-07-10,—
万能接话,活跃,职场幽默接话大家都在搜,2,15,约51(7条XHS样本:10/78/26/2/26/114/102),"run4_10/14≈71.4%(2026-08-07;长空档活跃复查[距07-15隔23天];截取口径,原始13/14≈92.9%;验证长空档规律持续有效); 前值:首投50%(5新/10抓;网页;蜻蜓FM高情商回话专辑+职场回复话术上篇+900句合集索引+播客100种接话技巧+口才提升宝典,与已学高情商话术簇部分重叠但角度独立,建议升级活跃)",2026-07-10,2026-08-07
个人原因离职怎么简单说,候选,离职原因怎么说大家都在搜,0,0,—,—,2026-07-10,—
离职原因回答模版,候选,离职原因怎么说大家都在搜,0,0,—,—,2026-07-10,—
面试职业规划怎么说,活跃,职业规划XHS教训,7,33,—,"run4_86.7%(13新/15抓;2026-08-08;距上次运行24天,长空档复投,本轮全场最高命中率;XHS9条[HR蕞爱听的职业规划直接抄作业4660赞/问题基础回答就不基础1.7万赞/面试被问职业规划这样回答HR直接给你涨薪660赞等]+web4条[知乎面试必问你的职业规划是什么如何完美回复/牛客职业发展规划如何回答/36氪面试时HR问你的职业规划其实是想听你这样说/向阳生涯范文]); 前值:run3_30%(3新/10抓;网页;向阳生涯范文+小白实习攻略+CSDN自我介绍职业规划薪资期望三条新增);原:run2_20%(2新/~10抓;HR职业规划真实意图解析/牛客话题合集);run3_0%(网页饱和;待XHS补)",2026-07-10,2026-08-08
如何自信表达,活跃,弱者表达大家都在搜,4,run1(2026-08-14)_4/19=21.1%; 45,约7693（4条样本）,"run1(2026-08-14)_4/19=21.1% | 0717run1_64%(13新/20抓;XHS时间排序+web1;首次发现'外刊精读体'跨账号转载现象——同一篇《如何在不自信时自信表达》被至少6个账号发布[外刊甄选77赞/精选外刊2696赞/UpMind编辑部819赞/刊刊而谈3639赞/泓博英语小剧场16赞/降噪自习室1.1万赞],同源内容点赞差异悬殊印证'点赞受账号体量污染'的假设;命中率维持高位,确认活跃地位); 原:首投90%(9新/10抓;网页;坚定自信沟通行动清单+紧张大脑空白应对法+18个说话分寸技巧+MBA10大技巧等多来源,供给充沛,建议升级活跃);07-20run1_48.9%(23新/47抓;XHS20+web3;精选外刊系列/身体语言/公开表达训练子话题密集增量,武志红心理学7924赞心理学视角样本值得关注;平均热度仅按XHS有点赞数据的20条计算,网页源3条无热度数据未计入)",2026-07-10,2026-08-14
怎么问offer进度,候选,offer博弈大家都在搜,0,0,—,—,2026-07-10,—
hr问其他面试进展,候选,offer博弈大家都在搜,0,0,—,—,2026-07-10,—
HR面试黑话,活跃,面试什么话不能说/面试潜台词搜索联想,3,20,约4454(2条XHS样本:7873/1035),"run3_41.7%(10新/24抓,原始命中23/24≈95.8%按8-12条上限截取记录;前值:run2_50%)",2026-07-12,2026-08-06
面试职业规划禁忌话题,候选,面试职业规划怎么说差异化切角,1,2,—,首投50%(2新/4抓;差异化切角),2026-07-11,2026-07-11
招聘黑话解读,退休,HR面试黑话搜索结果发现,2,7,—,"run1_0%(0新/4抓;07-13首投已收割主要来源,本轮完全饱和);原:首投70%(7新/10抓;HR视角解码体三段式-字面话术→潜台词→建议-薪资/加班/培训三类目验证)",2026-07-12,2026-07-15
弱者气息改掉方法,活跃,弱者表达替换表搜索结果发现,2,26,—,"run2_16/20=80.0%(2026-08-07;距07-14长空档24天,本轮全场最高命中率,新增含7个反内耗社交心法9.5万赞/如何戒掉身上的弱者气息4999赞/怎么改掉自己身上的弱者气息1.6万赞等16条); 前值:首投run1_67%(10新/~15抓",2026-07-12,2026-08-07
面试没通过的信号,退休,面试成功了的征兆反面视角,3,12,—,"run1_0%(0新/5抓;07-13已充分收割,本轮网页结果全部重复);原:run2_67%(6新/~9抓;双向判断体高潜)",2026-07-12,2026-07-15
AI口才训练,候选,讲话逻辑搜索页发现,1,2,—,run1_67%(2新+1已收;英语APP污染严重;建议改投职场口才训练),2026-07-12,2026-07-12
职场口才训练,活跃,如何自信表达搜索结果发现,4,"28 | run4(2026-08-12)_长空档复查(距07-19隔24天)_6/7≈85.7%(web-only因XHS未登录;新增6条含口才式演讲课程推荐/真正要练口才就这三点/如何锻炼自己的口才及表达能力/教你16种口才训练方法/管理者提升口才最好的方式练/怎样锻炼口才[均知乎],过滤1条低质转载站xueshu.com重复)",22580.6 | run4(08-12)均值—(web-only无点赞数据),"21.3%(10新/47抓;供给延续,""练出好声音""[7.1万赞]等头部账号内容拉高均值,但边际新增放缓);07-19run2_38.5%(10新/26抓;每日打卡体系列账号(小董练口才/跟着晨晨练表达)持续更新带来稳定增量) | run4(2026-08-12)_长空档复查_6/7≈85.7%(web-only,本轮全场最高命中率,验证长空档规律但需XHS复核确认真实供给强度,不单独作为升级判据因该词已是活跃)",2026-07-17,2026-08-12
面试时间很短说明什么,候选,面试没通过的信号搜索联想,0,0,—,—,2026-07-12,—
i人职场沟通,候选,脉脉高热内容发现,0,0,—,—,2026-07-12,—
如何问面试结果,候选,面试反问搜索联想,0,0,—,—,2026-07-12,—
面试情绪管理,候选,面试配得感搜索发现,1,2,—,首投10%(2新/~20抓;情绪稳定角度与面试超绝心态部分重叠;需二次验证),2026-07-13,2026-07-13
HR高质量对谈技巧,退休,面试技巧新角度发现,1,1,—,"首投5%(1新/~19抓;与run1已学""会聊才是本事""结构高重叠;命中率低)",2026-07-13,2026-07-13
讨好型人格改掉,活跃,弱者表达替换表搜索结果发现,2,24,—,"run1_18/20=90.0%(2026-08-07;长空档复查距07-13隔25天,创该词历史新高;原始命中20/20但2条[讨好型女生请疯狂做这10件事/被原生家庭伤害了咋办]因偏离职场表达主题过滤不计入); 前值:首投60%(6新/10抓;具体行为切片钩子[发消息删改10遍]优于标签直给验证)",2026-07-13,2026-08-07
