关键词,场景域,场景类型,意图强度,竞争密度,人工初判,关联案例ID,状态,发布日,笔记链接,搜索来源占比,备注
发了口头offer怎么催,面试,事件,,,,C_new,候选,,,,"08-23run4小红书未登录,三条件验证再次跳过,状态维持候选(已连续多轮排队);08-23run6小红书未登录,三条件验证再次跳过,状态维持候选(已连续多轮排队)；08-24run1(全新会话,Chrome扩展未连接/tabs_context_mcp两次超时,无法判断小红书登录状态,按未连接处理),三条件验证再次跳过,状态维持候选;08-24run2(Chrome扩展已连接,但get_page_text确认小红书搜索页仍为登录墙,未登录),三条件验证再次跳过,状态维持候选；08-24run4(Chrome扩展已连接,但get_page_text确认小红书搜索页仍为登录墙/骨架屏占位,判定未登录,与run2同型),三条件验证再次跳过,状态维持候选(已连续多日排队);08-24run6小红书未登录(Chrome扩展已连接但账号未登录,登录墙确认),三条件验证再次跳过,状态维持候选(已连续多轮排队); 08-25run1(小红书未登录,未验证,继续排队); 08-25run2(小红书未登录,三条件验证再次跳过,继续排队) | 08-25run4(小红书未登录,三条件验证再次跳过,继续排队) | 2026-08-26run1(小红书未登录,三条件验证再次跳过,继续排队) | 2026-08-26run2(小红书未登录,三条件验证再次跳过,继续排队;本轮排队天数已较长,建议下次小红书恢复登录后作为最高优先级验证对象) | 2026-08-26run4(小红书未登录,复核确认:run3报告'已登录'但本轮navigate至小红书搜索页get_page_text确认完整登录墙[二维码/手机号登录弹窗],判定未登录状态在同日内发生变化,三条件验证再次跳过,继续排队;建议下次运行开始时优先复核登录状态)2026-08-26run6(小红书未登录,三条件验证再次跳过,状态维持候选,继续排队);; 2026-08-27run1:小红书未登录(登录墙确认),三条件验证[下拉补全/结果页数量级/前排赞藏]无法执行,跳过验证,状态维持候选,继续排队; 2026-08-27run2:小红书未登录,三条件验证无法执行,跳过验证,状态维持候选,继续排队;2026-08-27run4:小红书未登录(登录墙确认),三条件验证[下拉补全/结果页数量级/前排赞藏]无法执行,跳过验证,状态维持候选,继续排队;2026-08-27run6:小红书未登录(登录墙截图确认,QR码+手机号登录表单覆盖骨架屏内容),三条件验证[下拉补全/结果页数量级/前排赞藏]无法执行,跳过验证,状态维持候选,继续排队(已连续排队至第6天);2026-08-28run2:小红书未登录(登录墙截图+get_page_text确认),三条件验证[下拉补全/结果页数量级/前排赞藏]无法执行,跳过验证,状态维持候选,继续排队(已连续排队至第8天,建议下次小红书恢复登录后作为最高优先级验证对象);2026-08-28run4:小红书连续第4轮(run1-run4)未登录(登录墙截图+get_page_text反复确认),三条件验证[下拉补全/结果页数量级/前排赞藏]仍无法执行,状态维持候选,继续排队(自2026-08-20run2首次入池以来累计第9次因未登录被跳过验证;08-27之前每日均有至少1轮成功登录,但2026-08-28全天run1-run4首次连续4轮均未登录,建议人工尽快登录,此5词为账号最高优先级验证对象);2026-08-28run6:小红书连续第5轮(run1/run2/run4/run5均未登录,run3抓取失败告警)未成功登录(run1/run2/run4登录墙截图+get_page_text确认未登录;run5/run3为WebSearch+登录墙均失败/0抓取告警轮次,未做登录判定),三条件验证[下拉补全/结果页数量级/前排赞藏]仍无法执行,状态维持候选,继续排队(自2026-08-20run2首次入池以来累计第10次因未登录被跳过验证,已连续排队至第9天,建议人工尽快登录,此5词为账号最高优先级验证对象);2026-09-02run1:小红书未登录(内置浏览器登录墙确认,QR码+手机号登录界面)+Chrome扩展未连接(tabs_context_mcp返回not connected),三条件验证[下拉补全/结果页数量级/前排赞藏]整体跳过,状态维持候选(已连续多轮排队)"
怎么和hr要书面offer,面试,事件,,,,C_new,放弃,,,,"放弃(2026-08-11run3验证;a=通过[下拉出现如何向hr要书面offer1个近似变体];b=较多;c=不通过[前排面试完要主动哦5507赞/LinkedIn给HM/HR发私信真的有用686赞/实践成功有效催offer707赞/想拖offer但又怕offer跑了怎么办1175赞/面试真题礼貌催offer的高分话术2651赞等多篇远超500赞,催offer/要书面offer话术赛道已高度成熟,与既有活跃词'口头说面试通过了/hr定薪一般几天兑现'同属offer流程簇,答案空间饱和)"
可以用offer催offer吗,面试,事件,,,,C_new,候选,,,,"run4(2026-09-02)_三条件验证因小红书不可用(登录墙)整体跳过，维持候选；2026-08-27run1:小红书未登录(登录墙确认),三条件验证[下拉补全/结果页数量级/前排赞藏]无法执行,跳过验证,状态维持候选,继续排队"
hr给了口头offer怎么推进,面试,事件,,,,C_new,放弃,,,,"放弃(2026-08-11;条件b不通过:小红书精确搜索0结果,无供给)"
offer下来了还能谈薪吗,谈薪,事件,,,,C_new,候选,,,,"run4(2026-09-02)_三条件验证因小红书不可用(登录墙)整体跳过，维持候选；2026-08-27run1:小红书未登录(登录墙确认),三条件验证[下拉补全/结果页数量级/前排赞藏]无法执行,跳过验证,状态维持候选,继续排队"
offer发放后还能谈薪资吗,谈薪,事件,,,,C_new,候选,,,,"run4(2026-09-02)_三条件验证因小红书不可用(登录墙)整体跳过，维持候选；2026-08-27run1:小红书未登录(登录墙确认),三条件验证[下拉补全/结果页数量级/前排赞藏]无法执行,跳过验证,状态维持候选,继续排队"
收到offer了还能谈薪资吗,谈薪,事件,,,,C_new,候选,,,,"run4(2026-09-02)_三条件验证因小红书不可用(登录墙)整体跳过，维持候选；2026-09-01run:小红书未登录(内置浏览器登录墙确认)+Chrome扩展未连接(tabs_context_mcp not connected),三条件验证[下拉补全/结果页数量级/前排赞藏]无法执行,跳过验证,状态维持候选,继续排队;2026-09-01run2:小红书仍未登录(内置浏览器navigate小红书搜索页get_page_text/read_page确认完整登录墙[登录后查看搜索结果+手机号输入框];Chrome扩展tabs_context_mcp返回not connected),三条件验证[下拉补全/结果页数量级/前排赞藏]再次无法执行,状态维持候选,继续排队"
面试被问expected salary怎么礼貌不直接回答,谈薪,症状,中,低,,"C_new|已验证(2026-08-08):结果页高度精确命中同问法笔记(What's your salary expectation/HR真的会看Expected Salary吗等),视为条件a强信号替代确认;前排普遍<2000;答案空缺=现有内容多为北美/外企英文求职语境,缺国内职场场景下'礼貌不直接报数字'的中文话术模板",已验证,,,,
结构化面试万能分析公式,面试,情境,,,,C_new,候选,,,,"本轮(2026-08-09 run2)选中拟验证但因小红书未登录整体跳过三条件验证,状态未变更,建议下轮优先复投"
面试不该说的别说,面试,事件,,,,C_new,放弃,,,,"放弃(2026-08-13;a=通过[搜索框自动补全精确出现""面试不该说的别说""];b=较多;c=不通过[前排""奉劝大家面试不该说的别乱说/别说""同质化句式多篇987/2.7万/3892/6930/1.1万/2.1万/1.1万/1.6万赞远超500占位,母题被多账号高度同质化复制])"
hr暗示你已经被录用了,面试,事件,,,,C_new,放弃,,,,"放弃理由:c不过,前排多篇>500(面试暗示你已经成功了1342/面试结果HR已经暗示过你3465/你马上要被录用了3183/面试博弈论10个强录取信号2970),""HR暗示信号""判读体子赛道已高度饱和,与此前""判读型内容止步于识别""结论一致(08-18run2)"
hr说通过了但是还在招人,面试,症状,,,,C_new,候选,,,,
hr说通过了,面试,事件,,,,C_new,放弃,,,,"2026-08-08run3验证:大家都在搜出现近义变体(hr说什么相当于被录用了/hr确定录用的信息)条件a弱通过,但结果页内容多为个人offer庆祝分享帖而非""HR口头说通过是否可信""的精准解答,且与已收录活跃词""口头说面试通过了""(2026-08-06/07,已确认语义漂移为口头offer生态)高度重叠,放弃避免重复"
面试官暗示你被录用了,面试,事件,,,,C_new,候选,,,,"run4(2026-09-02)_三条件验证因小红书不可用(登录墙)整体跳过，维持候选；2026-09-01run:小红书未登录(内置浏览器登录墙确认)+Chrome扩展未连接(tabs_context_mcp not connected),三条件验证[下拉补全/结果页数量级/前排赞藏]无法执行,跳过验证,状态维持候选,继续排队;2026-09-01run2:小红书仍未登录(内置浏览器navigate小红书搜索页get_page_text/read_page确认完整登录墙[登录后查看搜索结果+手机号输入框];Chrome扩展tabs_context_mcp返回not connected),三条件验证[下拉补全/结果页数量级/前排赞藏]再次无法执行,状态维持候选,继续排队"
应届生有谈薪吗,谈薪,事件,,,,C_new,放弃,,,,2026-08-13三条件验证: 放弃——条件a通过(下拉命中'应届生谈薪资怎么谈'/'应届生怎么谈薪')，条件b通过，条件c不通过：前排'99%应届毕业生没有谈薪空间'1926赞、'当面试被问期望薪资是多少时'4205赞已占位
大厂社招可以谈薪吗,谈薪,事件,,,,C_new,候选,,,,"2026-09-02run2:小红书不可用(Chrome扩展tabs_context_mcp未连接+内置浏览器navigate至xiaohongshu.com/search_result?keyword=职场表达&sort=time_descending实测完整登录墙,手机号登录框+微信扫码二维码),三条件验证本轮跳过,维持候选,待恢复登录后验证"
应届生要不要谈薪,谈薪,事件,,,,C_new,候选,,,,"2026-09-02run2:小红书不可用(Chrome扩展tabs_context_mcp未连接+内置浏览器navigate至xiaohongshu.com/search_result?keyword=职场表达&sort=time_descending实测完整登录墙,手机号登录框+微信扫码二维码),三条件验证本轮跳过,维持候选,待恢复登录后验证"
应届生薪资统计,谈薪,情境,,,,C_new,候选,,,,
应届生有必要谈薪吗,谈薪,事件,,,,C_new,候选,,,,"run6(2026-09-02)本轮选定但小红书登录墙未过(手机号+微信扫码),三条件验证整体跳过,状态不变"
定薪之后还可以谈嘛,谈薪,事件,,,,C_new,候选,,,,"2026-09-02run2:小红书不可用(Chrome扩展tabs_context_mcp未连接+内置浏览器navigate至xiaohongshu.com/search_result?keyword=职场表达&sort=time_descending实测完整登录墙,手机号登录框+微信扫码二维码),三条件验证本轮跳过,维持候选,待恢复登录后验证"
面试问愿景是什么,面试,事件,,,,C_new,放弃,,,,2026-08-13三条件验证: 放弃——条件a勉强通过(结果页'大家都在搜'出现'面试问你有什么愿景'等近似词，但打字下拉未直接命中)，条件b通过，条件c不通过：前排'秋招特辑面试时我希望你问的4个问题'2047赞、'得到CEO脱不花面试一个人这4个问题就够了'918赞已占位
面试官问有什么目标怎么回答,面试,事件,,,,C_new,放弃,,,,"2026-08-08run3验证:结果页前排笔记(问题基础回答就不基础1.7万赞/你五年后想成什么样超稳/分享一个通透实在的职业规划等)与本轮同日已验证的根词""面试职业规划怎么说""高度重叠,系同一批内容,判定为同母题的措辞变体,不单独立项,放弃"
面试时要求看工资流水,面试,症状,,,,C_new,候选,,,,
面试提供工资流水合理吗,面试,症状,,,,C_new,放弃,,,,"2026-08-08run4验证: 与""hr问我要薪资流水怎么办""同母题重叠,已确认被20.6万赞头部内容占位,不重复验证结果页,直接判定放弃。"
hr问我要薪资流水怎么办,面试,症状,,,,C_new,放弃,,,,"2026-08-08run4验证: 条件a通过(大家都在搜""hr找我要薪资流水/hr查工资流水/hr索要薪资流水""高度吻合); 条件b通过(结果饱和); 条件c不通过(头部""公司要你的薪资流水,你就傻傻给了?""20.6万赞超级爆款占位,且已衍生多篇补救指南),工资流水母题严重饱和,放弃。"
面试公司要工资流水怎么办,面试,症状,,,,C_new,候选,,,,
hr要提供薪资流水怎么截图,面试,症状,,,,C_new,候选,,,,
面试自我介绍1分钟通用模板,面试,事件,,,大家都在搜(面试时候的自我介绍验证页),,放弃,,,,"2026-08-08run3验证:结果页数量充沛(条件b强)但前排赞藏偏高(2.7万/8696/4.3万/7961等多篇>500),竞争密度高,现有内容(00后自我介绍万能公式/自我介绍的结构/面试自我介绍满分话术)已充分覆盖该角度,放弃"
只笔试不面试的事业单位,事业单位,事件,高,低,,,已验证,,,,"2026-08-08run4验证: 条件a通过(相关搜索出现""只有笔试没有面试的事业编/只笔试不面试的岗位/不用面试的编制""等多条近义变体); 条件b通过(结果数量较多,各省份地区盘点类内容持续更新); 条件c通过(相关结果top多为117-483赞,普遍<500,无成熟头部占位); 三条件全过,判定已验证。答案空缺=现有内容多为各地区/岗位盘点体清单,缺""如何自查/判断自己岗位是否需要面试""的具体操作指南。"
事业单位面试完可以直接走吗,事业单位,事件,,,,,放弃,,,,"2026-08-08run4验证: 条件a通过(相关搜索""面试完能走吗/事业编面试是考完就走吗/结构化面试考完就能走吗""近义命中); 条件b通过(结果较多); 条件c不通过(top10出现606/1260/681/3139/1330等多篇>500赞成熟内容,""正常面试退场""3139赞头部占位),竞争密度中高,放弃。"
面试个人规划怎么写,面试,事件,,,,,候选,,,,"2026-09-02run2:小红书不可用(Chrome扩展tabs_context_mcp未连接+内置浏览器navigate至xiaohongshu.com/search_result?keyword=职场表达&sort=time_descending实测完整登录墙,手机号登录框+微信扫码二维码),三条件验证本轮跳过,维持候选,待恢复登录后验证"
面试谈职业规划怎么说,面试,事件,,,,,候选,,,,"run6(2026-09-02)本轮选定但小红书登录墙未过(手机号+微信扫码),三条件验证整体跳过,状态不变"
近三年职业规划怎么写,面试,事件,,,,,候选,,,,"run6(2026-09-02)本轮选定但小红书登录墙未过(手机号+微信扫码),三条件验证整体跳过,状态不变"
面试的潜台词怎么写,面试,情境,,,"知乎/搜索页问句(与暗示信号母题有重叠,优先级低)",,候选,,,,
事业单位面试无话可说怎么办,事业单位,症状,,,知乎问题标题(事业单位面试不能说什么根词收割),,放弃,,,,"2026-08-08run4验证: 条件a通过(""考事业单位面试说不出内容/事业单位面试无话可说如何应对""等相关搜索高度贴合); 条件b通过; 条件c不通过(前排""结构化面试从无话可说到考场第一笨办法""2.1万赞+""考官想听的万能开头""7893赞头部占位,结构化面试万能模板母题已饱和),放弃。"
事业单位面试说不出话,事业单位,症状,,,知乎问题标题(事业单位面试不能说什么根词收割),,候选,,,,
面试暗示你已经成功了,面试,事件,,,2026-08-08run4新词收割(下拉补全/相关搜索),C_new,候选,,,,"run6(2026-09-02)本轮选定但小红书登录墙未过(手机号+微信扫码),三条件验证整体跳过,状态不变"
面试成功了的征兆,面试,事件,,,2026-08-08run4新词收割(下拉补全/相关搜索),C_new,候选,,,,"2026-09-02run2:小红书不可用(Chrome扩展tabs_context_mcp未连接+内置浏览器navigate至xiaohongshu.com/search_result?keyword=职场表达&sort=time_descending实测完整登录墙,手机号登录框+微信扫码二维码),三条件验证本轮跳过,维持候选,待恢复登录后验证"
事业编面试一般在笔试后多久,事业单位,事件,,,2026-08-08run4新词收割(下拉补全/相关搜索),C_new,放弃,,,,"放弃(2026-08-11;条件b不通过:小红书精确搜索0结果,无供给)"
先发offer还是先提供流水,谈薪,事件,,,2026-08-08run4新词收割(下拉补全/相关搜索),C_new,放弃,,,,"放弃(2026-08-11;条件b不通过:小红书精确搜索0结果,无供给)"
